Day,State,Region,EV,Dem,GOP,Date,Pollster
202,North Carolina,South,15,43,42,21-Jul,Redfield and Wilton Strategies-3
200,North Carolina,South,15,51,44,22-Jul,Marist Coll.-9
189.5,North Carolina,South,15,50,46,8-Jul,PPP-2
175.5,North Carolina,South,15,45,44,25-Jun,East Carolina U.-4
174.5,North Carolina,South,15,48,46,23-Jun,PPP-2
173.5,North Carolina,South,15,47,45,23-Jun,Fox News-4
167.5,North Carolina,South,15,46,40,17-Jun,Redfield and Wilton Strategies-4
165,North Carolina,South,15,49,40,18-Jun,Siena Coll.-11
154.5,North Carolina,South,15,49,45,3-Jun,PPP-2
148,North Carolina,South,15,44,47,28-May,Harper Polling-3
137.5,North Carolina,South,15,42,42,21-May,Neighborhood Research and Media-10
133,North Carolina,South,15,45,43,14-May,Redfield and Wilton Strategies-5
132,North Carolina,South,15,47,47,13-May,Meeting Street Insights-5
129,North Carolina,South,15,43,46,9-May,East Carolina University-3
124,North Carolina,South,15,49,46,4-May,Civiqs-3
118.5,North Carolina,South,15,47,40,28-Apr,Meredith College-2
115.5,North Carolina,South,15,50,45,26-Apr,SurveyUSA-4
111.5,North Carolina,South,15,49,46,21-Apr,PPP-2
105.5,North Carolina,South,15,48,47,15-Apr,PPP-2
97,North Carolina,South,15,42,49,7-Apr,Harper Polling-3
58.5,North Carolina,South,15,48,46,28-Feb,East Carolina U.-2
56,North Carolina,South,15,45,49,27-Feb,Marist Coll.-5
48,North Carolina,South,15,46,44,19-Feb,Climate Nexus-5
45.5,North Carolina,South,15,45,49,16-Feb,WRAL-TV-4
45.5,North Carolina,South,15,49,45,16-Feb,SurveyUSA-4
64,North Dakota,Mid West,3,38,55,5-Mar,DFM Research-3
30,North Dakota,Mid West,3,38,57,1-Feb,DFM Research-5
284,Ohio,Mid West,18,48,47,12-Oct,Quinnipiac U.-5
280.5,Ohio,Mid West,18,46,49,11-Oct,Morning Consult-10
278,Ohio,Mid West,18,45,44,6-Oct,Siena Coll.-5
278,Ohio,Mid West,18,45,47,8-Oct,Baldwin Wallace U.-9
275,Ohio,Mid West,18,47,47,2-Oct,YouGov-3
265.5,Ohio,Mid West,18,50,45,23-Sep,Fox News-4
263,Ohio,Mid West,18,48,47,21-Sep,Quinnipiac U.-5
259,Ohio,Mid West,18,45,44,22-Sep,Baldwin Wallace U.-15
257,Ohio,Mid West,18,45,48,15-Sep,Civiqs-5
245.5,Ohio,Mid West,18,51,47,2-Sep,Pulse Opinion Research-2
238.5,Ohio,Mid West,18,45,50,30-Aug,Morning Consult-10
228,Ohio,Mid West,18,47,47,17-Aug,Civiqs-5
213,Ohio,Mid West,18,47,46,3-Aug,TargetSmart-7
204.5,Ohio,Mid West,18,45,46,24-Jul,YouGov-4
204,Ohio,Mid West,18,43,41,23-Jul,Zogby Analytics-3
203.5,Ohio,Mid West,18,45,48,26-Jul,Morning Consult-10
197.5,Ohio,Mid West,18,50,46,16-Jul,Pulse Opinion Research-2
186.5,Ohio,Mid West,18,46,42,15-Jul,U. of Akron-22
172,Ohio,Mid West,18,46,45,22-Jun,Quinnipiac U.-5
152.5,Ohio,Mid West,18,45,43,2-Jun,Fox News-4
130,Ohio,Mid West,18,49,51,10-May,Emerson Coll.-3
113.5,Ohio,Mid West,18,45,44,25-Apr,Baldwin Wallace U.-6
81,Ohio,Mid West,18,43,47,25-Mar,Baldwin Wallace U.-9
72.5,Ohio,Mid West,18,49,45,15-Mar,Marist Coll.-6
249,Oklahoma,South,7,35,60,8-Sep,Sooner Poll-7
155.5,Oklahoma,South,7,36,55,4-Jun,Amber Integrated-2
66.5,Oklahoma,South,7,33,57,8-Mar,Amber Integrated-4
42.5,Oklahoma,South,7,34,62,13-Feb,Cole Hargrave Snodgrass-4
271.5,Oregon,West,7,56,39,29-Sep,Civiqs-4
249.5,Oregon,West,7,51,39,8-Sep,DHM Research-6
283.5,Pennsylvania,North East,20,49,43,12-Oct,RMG Research-6
282.5,Pennsylvania,North East,20,51,44,11-Oct,Ipsos-6
280.5,Pennsylvania,North East,20,52,44,11-Oct,Morning Consult-10
279,Pennsylvania,North East,20,49,42,6-Oct,Redfield and Wilton Strategies-3
278.5,Pennsylvania,North East,20,50,45,5-Oct,Emerson Coll.-2
278,Pennsylvania,North East,20,50,45,8-Oct,Baldwin Wallace U.-9
277,Pennsylvania,North East,20,54,41,5-Oct,Quinnipiac U.-5
276,Pennsylvania,North East,20,54,43,4-Oct,Monmouth U.-5
276,Pennsylvania,North East,20,50,45,5-Oct,Ipsos-7
275,Pennsylvania,North East,20,49,42,2-Oct,Siena Coll.-3
275,Pennsylvania,North East,20,51,44,2-Oct,YouGov-3
270,Pennsylvania,North East,20,49,40,27-Sep,Siena Coll.-3
269,Pennsylvania,North East,20,50,45,26-Sep,TIPP-3
268,Pennsylvania,North East,20,50,44,25-Sep,Redfield and Wilton Strategies-3
267.5,Pennsylvania,North East,20,54,45,26-Sep,Langer Research-6
265.5,Pennsylvania,North East,20,51,44,23-Sep,Fox News-4
261,Pennsylvania,North East,20,48,42,20-Sep,Franklin+Marshall Coll.-7
259.5,Pennsylvania,North East,20,49,45,21-Sep,YouGov-12
259,Pennsylvania,North East,20,47,45,22-Sep,Baldwin Wallace U.-15
257.5,Pennsylvania,North East,20,49,46,16-Sep,Ipsos-6
257,Pennsylvania,North East,20,49,44,14-Sep,Redfield and Wilton Strategies-3
257,Pennsylvania,North East,20,52,45,15-Sep,Civiqs-5
253.5,Pennsylvania,North East,20,48,43,11-Sep,Climate Nexus-4
248.5,Pennsylvania,North East,20,51,44,6-Sep,TargetSmart-4
247.5,Pennsylvania,North East,20,53,44,7-Sep,Marist Coll.-8
246.5,Pennsylvania,North East,20,49,46,8-Sep,Benenson Strategy/GS Strategy-12
245,Pennsylvania,North East,20,48,43,3-Sep,Redfield and Wilton Strategies-5
243,Pennsylvania,North East,20,52,44,1-Sep,Quinnipiac U.-5
242.5,Pennsylvania,North East,20,49,46,31-Aug,Monmouth U.-4
239,Pennsylvania,North East,20,48,48,27-Aug,Pulse Opinion Research-3
238.5,Pennsylvania,North East,20,49,45,30-Aug,Morning Consult-10
233,Pennsylvania,North East,20,49,42,23-Aug,Franklin+Marshall Coll.-7
229.5,Pennsylvania,North East,20,48,41,17-Aug,Redfield and Wilton Strategies-2
228,Pennsylvania,North East,20,51,44,17-Aug,Civiqs-5
227,Pennsylvania,North East,20,49,45,17-Aug,Muhlenberg Coll.-7
222,Pennsylvania,North East,20,53,47,10-Aug,Emerson Coll.-3
218.5,Pennsylvania,North East,20,49,43,7-Aug,YouGov-4
205,Pennsylvania,North East,20,50,41,26-Jul,Franklin+Marshall Coll.-7
204,Pennsylvania,North East,20,44,43,23-Jul,Zogby Analytics-3
203.5,Pennsylvania,North East,20,50,42,26-Jul,Morning Consult-10
202,Pennsylvania,North East,20,48,41,21-Jul,Redfield and Wilton Strategies-3
201,Pennsylvania,North East,20,50,39,20-Jul,Fox News-3
197.5,Pennsylvania,North East,20,51,46,16-Jul,Pulse Opinion Research-2
193,Pennsylvania,North East,20,52,42,13-Jul,Monmouth U.-5
167,Pennsylvania,North East,20,49,39,16-Jun,Redfield and Wilton Strategies-3
164,Pennsylvania,North East,20,50,40,16-Jun,Siena Coll.-9
133,Pennsylvania,North East,20,48,39,14-May,Redfield and Wilton Strategies-5
114.5,Pennsylvania,North East,20,49,43,26-Apr,Harper Polling-6
111.5,Pennsylvania,North East,20,51,44,21-Apr,PPP-2
110.5,Pennsylvania,North East,20,50,42,21-Apr,Fox News-4
108.5,Pennsylvania,North East,20,46,40,20-Apr,Ipsos-6
81,Pennsylvania,North East,20,45,46,25-Mar,Baldwin Wallace U.-9
67,Pennsylvania,North East,20,46,40,8-Mar,YouGov-3
47,Pennsylvania,North East,20,47,47,20-Feb,Muhlenberg Coll.-9
46.5,Pennsylvania,North East,20,46,45,20-Feb,YouGov-10
46,Pennsylvania,North East,20,50,42,18-Feb,Quinnipiac U.-7
43,Pennsylvania,North East,20,47,42,18-Feb,Expedition Strategies-13
2,Rhode Island,North East,4,55,40,2-Jan,Election 2016-1
280.5,South Carolina,South,9,42,54,11-Oct,Morning Consult-10
269,South Carolina,South,9,47,48,27-Sep,Quinnipiac U.-5
267.5,South Carolina,South,9,42,52,25-Sep,YouGov-4
259.5,South Carolina,South,9,44,50,20-Sep,Morning Consult-10
256,South Carolina,South,9,45,51,14-Sep,Quinnipiac U.-5
214,South Carolina,South,9,42,47,3-Aug,Quinnipiac U.-5
210.5,South Carolina,South,9,44,49,2-Aug,Morning Consult-10
145.5,South Carolina,South,9,42,52,26-May,Civiqs-4
60.5,South Carolina,South,9,48,52,2-Mar,Emerson Coll.-4
57.5,South Carolina,South,9,42,48,28-Feb,AtlasIntel-4
32,South Carolina,South,9,40,52,2-Feb,East Carolina U.-3
2,South Dakota,Mid West,3,32,62,2-Jan,Election 2016-1
134.5,Tennessee,South,11,42,51,22-May,SSRS-18
117.5,Tennessee,South,11,36,53,1-May,East Tennessee State U.-10
29,Tennessee,South,11,39,55,30-Jan,Mason-Dixon-3
281.5,Texas,South,38,50,49,8-Oct,PPP-2
280.5,Texas,South,38,47,49,11-Oct,Morning Consult-10
279.5,Texas,South,38,44,51,6-Oct,Pulse Opinion Research-2
278.5,Texas,South,38,48,48,6-Oct,Civiqs-4
273.5,Texas,South,38,45,50,4-Oct,YouGov-10
269.5,Texas,South,38,48,48,26-Sep,PPP-2
265.5,Texas,South,38,46,50,25-Sep,U. of Mass.-8
263,Texas,South,38,45,50,21-Sep,Quinnipiac U.-5
263,Texas,South,38,43,46,22-Sep,Siena Coll.-7
260.5,Texas,South,38,46,48,18-Sep,YouGov-4
245.5,Texas,South,38,47,48,2-Sep,PPP-2
243.5,Texas,South,38,46,48,2-Sep,U. of Texas-6
238.5,Texas,South,38,47,48,30-Aug,Morning Consult-10
234.5,Texas,South,38,48,47,22-Aug,PPP-2
221.5,Texas,South,38,41,48,13-Aug,YouGov-10
210.5,Texas,South,38,47,46,2-Aug,Morning Consult-10
203.5,Texas,South,38,47,45,26-Jul,Morning Consult-10
200,Texas,South,38,45,44,20-Jul,Quinnipiac U.-5
190.5,Texas,South,38,45,46,10-Jul,YouGov-4
185,Texas,South,38,48,43,7-Jul,U. of Texas-9
176.5,Texas,South,38,48,46,25-Jun,PPP-2
176,Texas,South,38,44,48,29-Jun,YouGov-11
173.5,Texas,South,38,45,44,23-Jun,Fox News-4
170.5,Texas,South,38,46,48,19-Jun,PPP-2
155.5,Texas,South,38,48,48,4-Jun,PPP-2
151,Texas,South,38,43,44,1-Jun,Quinnipiac U.-5
130,Texas,South,38,48,52,10-May,Emerson Coll.-3
118.5,Texas,South,38,47,46,28-Apr,PPP-2
113.5,Texas,South,38,43,43,27-Apr,U. of Texas-10
105.5,Texas,South,38,44,49,19-Apr,YouGov-10
58.5,Texas,South,38,43,47,2-Mar,AtlasIntel-8
56,Texas,South,38,45,49,27-Feb,Marist Coll.-5
55,Texas,South,38,48,47,26-Feb,SSRS-5
52.5,Texas,South,38,44,45,26-Feb,U. of Texas-10
35.5,Texas,South,38,43,47,9-Feb,YouGov-10
25.5,Texas,South,38,44,46,30-Jan,U. of Texas-10
18.5,Texas,South,38,40,54,21-Jan,Data for Progress-6
14.5,Texas,South,38,46,51,19-Jan,Texas Lyceum-10
274,Utah,West,6,40,50,4-Oct,Y2 Analytics-9
253.5,Utah,West,6,35,53,12-Sep,RMG Research-6
211.5,Utah,West,6,31,50,1-Aug,RMG Research-6
133,Utah,West,6,41,44,15-May,Y2 Analytics-7
85.5,Utah,West,6,41,46,30-Mar,Y2 Analytics-10
18.5,Utah,West,6,31,49,22-Jan,RMG Research-8
253,Vermont,North East,3,56,32,15-Sep,Braun Research-13
259,Virginia,South,13,48,43,21-Sep,Christopher Newport U.-13
246,Virginia,South,13,53,39,7-Sep,Virginia Commonwealth U.-11
228.5,Virginia,South,13,53,39,22-Aug,Roanoke Coll.-14
203.5,Virginia,South,13,52,41,26-Jul,Morning Consult-10
197,Virginia,South,13,50,39,19-Jul,Virginia Commonwealth U.-9
130.5,Virginia,South,13,51,39,16-May,Roanoke Coll.-14
92,Virginia,South,13,51,41,8-Apr,Virginia Commonwealth U.-15
57.5,Virginia,South,13,45,38,28-Feb,Hampton University-4
44.5,Virginia,South,13,48,40,18-Feb,Roanoke Coll.-10
284,Washington,West,12,55,34,12-Oct,SurveyUSA-5
255,Washington,West,12,58,36,14-Sep,Strategies 360-7
206.5,Washington,West,12,62,28,27-Jul,SurveyUSA-6
140.5,Washington,West,12,59,37,20-May,PPP-2
138.5,Washington,West,12,57,31,19-May,SurveyUSA-4
94,Washington,West,12,52,39,6-Apr,EMC Research-7
65,Washington,West,12,57,34,6-Mar,SurveyUSA-3
277.5,West Virginia,South,5,39,53,6-Oct,Research America Inc.-6
273.5,West Virginia,South,5,38,56,30-Sep,Triton Polling and Res.-2
283.5,Wisconsin,Mid West,10,51,41,11-Oct,Siena Coll.-4
282.5,Wisconsin,Mid West,10,51,44,11-Oct,Ipsos-6
280.5,Wisconsin,Mid West,10,51,44,11-Oct,Morning Consult-10
279.5,Wisconsin,Mid West,10,51,41,7-Oct,Redfield and Wilton Strategies-4
278,Wisconsin,Mid West,10,49,43,8-Oct,Baldwin Wallace U.-9
276,Wisconsin,Mid West,10,47,42,4-Oct,Marquette Law School-5
276,Wisconsin,Mid West,10,50,44,5-Oct,Ipsos-7
269,Wisconsin,Mid West,10,48,43,27-Sep,Redfield and Wilton Strategies-5
266,Wisconsin,Mid West,10,54,44,24-Sep,Marist Coll.-5
259.5,Wisconsin,Mid West,10,50,46,21-Sep,YouGov-12
259,Wisconsin,Mid West,10,50,41,22-Sep,Baldwin Wallace U.-15
258,Wisconsin,Mid West,10,47,41,16-Sep,Redfield and Wilton Strategies-5
257.5,Wisconsin,Mid West,10,48,43,16-Sep,Ipsos-6
257,Wisconsin,Mid West,10,51,44,15-Sep,Civiqs-5
255,Wisconsin,Mid West,10,52,42,13-Sep,SSRS-5
254.5,Wisconsin,Mid West,10,52,46,13-Sep,Langer Research-6
253,Wisconsin,Mid West,10,48,43,10-Sep,Siena Coll.-3
251,Wisconsin,Mid West,10,51,44,8-Sep,Emerson Coll.-3
249.5,Wisconsin,Mid West,10,50,43,10-Sep,Morning Consult-10
247,Wisconsin,Mid West,10,50,44,4-Sep,YouGov-3
246.5,Wisconsin,Mid West,10,50,45,8-Sep,Benenson Strategy/GS Strategy-12
245.5,Wisconsin,Mid West,10,51,43,2-Sep,Pulse Opinion Research-2
245.5,Wisconsin,Mid West,10,50,41,4-Sep,Redfield and Wilton Strategies-6
245,Wisconsin,Mid West,10,48,44,3-Sep,Marquette Law School-5
243.5,Wisconsin,Mid West,10,50,42,1-Sep,Fox News-4
238.5,Wisconsin,Mid West,10,52,43,30-Aug,Morning Consult-10
237.5,Wisconsin,Mid West,10,53,40,28-Aug,Opinium-8
230.5,Wisconsin,Mid West,10,49,39,19-Aug,Redfield and Wilton Strategies-4
228,Wisconsin,Mid West,10,51,45,17-Aug,Civiqs-5
224.5,Wisconsin,Mid West,10,49,43,16-Aug,Morning Consult-10
219.5,Wisconsin,Mid West,10,50,46,9-Aug,Marquette Law School-6
218.5,Wisconsin,Mid West,10,55,43,6-Aug,Pulse Opinion Research-2
218.5,Wisconsin,Mid West,10,48,42,7-Aug,YouGov-4
203.5,Wisconsin,Mid West,10,45,35,24-Jul,Redfield and Wilton Strategies-6
203.5,Wisconsin,Mid West,10,50,43,26-Jul,Morning Consult-10
168.5,Wisconsin,Mid West,10,45,36,19-Jun,Redfield and Wilton Strategies-6
168,Wisconsin,Mid West,10,51,42,18-Jun,Marquette Law School-5
163.5,Wisconsin,Mid West,10,49,38,15-Jun,Siena Coll.-8
152.5,Wisconsin,Mid West,10,49,40,2-Jun,Fox News-4
133,Wisconsin,Mid West,10,48,38,14-May,Redfield and Wilton Strategies-5
126,Wisconsin,Mid West,10,46,43,7-May,Marquette Law School-5
111.5,Wisconsin,Mid West,10,50,45,21-Apr,PPP-2
108.5,Wisconsin,Mid West,10,43,40,20-Apr,Ipsos-6
86.5,Wisconsin,Mid West,10,48,45,29-Mar,Marquette Law School-6
81,Wisconsin,Mid West,10,45,45,25-Mar,Baldwin Wallace U.-9
70.5,Wisconsin,Mid West,10,48,45,11-Mar,PPP-2
67,Wisconsin,Mid West,10,44,42,8-Mar,YouGov-3
52,Wisconsin,Mid West,10,46,46,23-Feb,Marquette Law School-5
46.5,Wisconsin,Mid West,10,45,43,20-Feb,YouGov-10
46,Wisconsin,Mid West,10,42,49,18-Feb,Quinnipiac U.-7
43,Wisconsin,Mid West,10,42,44,18-Feb,Expedition Strategies-13
10,Wisconsin,Mid West,10,49,45,12-Jan,Marquette Law School-5
6.5,Wisconsin,Mid West,10,46,41,8-Jan,Fox News-4
2,Wyoming,West,3,23,70,2-Jan,Election 2016-1
